Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos
2018,Septiembre,80,Bahrein,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,246,1.67,5084.88
2018,Septiembre,87,Bélgica,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,76.8,0.1,313.15
2018,Septiembre,149,Canadá,11,Bogotá,"0803102000 - ""PLATANOS """"PLANTAINS"""" SECOS.""",997,3.3,10131.5
2018,Septiembre,245,España,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,1161,2.69,8205.19
2018,Septiembre,249,Estados Unidos,11,Bogotá,0803902000 - Los demás bananos secos,3,2.95,9108.8
2018,Septiembre,275,Francia,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,2210,5.89,17982.99
2018,Septiembre,275,Francia,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,24135,65.42,196801.07
2018,Septiembre,386,Italia,11,Bogotá,0803901900 - Los demás bananos o plátanos frescos.,162,0.42,1254.84
2018,Septiembre,386,Italia,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,288,0.73,2228.94
2018,Septiembre,386,Italia,73,Tolima,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,750,1.8,5447.12
2018,Septiembre,607,Portugal,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,216,0.49,1471.4
2018,Septiembre,767,Suiza,11,Bogotá,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,36,0.08,253.19
2018,Septiembre,767,Suiza,11,Bogotá,0803901900 - Los demás bananos o plátanos frescos.,144,0.34,1013.89
2018,Septiembre,767,Suiza,25,Cundinamarca,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,1105,3.51,10606.54
2018,Septiembre,23,Alemania,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",4631625,2000.8,6103385.06
2018,Septiembre,27,Aruba,25,Cundinamarca,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",2300,4.25,12806.86
2018,Septiembre,87,Bélgica,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",15655811.09,6724.56,20502299.85
2018,Septiembre,245,España,25,Cundinamarca,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",78364,32.41,97368.38
2018,Septiembre,249,Estados Unidos,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",36045036,15963.13,48440321.42
2018,Septiembre,399,Japón,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",243360,189.66,574910.49
2018,Septiembre,573,Países Bajos,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",5055919.24,2487.86,7544146.97
2018,Septiembre,628,Reino Unido,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",13682215.5,6206.69,18885352.45
2018,Septiembre,767,Suiza,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",2397532.8,1130.52,3426818.91
2018,Septiembre,830,Ucrania,47,Magdalena,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",117546,51.19,153932.3
2018,Septiembre,249,Estados Unidos,76,Valle del Cauca,0803902000 - Los demás bananos secos,4680,76.64,236765.86
2018,Septiembre,23,Alemania,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",1058086,365.09,1114682.88
2017,Abril,580,Panamá,11,Bogotá,"0803102000 - ""PLATANOS """"PLANTAINS"""" SECOS.""",11.52,0.54,1533.83
2018,Septiembre,87,Bélgica,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",7982035,3629.3,10958251.35
2018,Septiembre,198,Croacia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",166752,70.1,211461.75
2018,Septiembre,245,España,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",604061.2,242.32,738450.63
2018,Septiembre,249,Estados Unidos,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",1658079.6,812.26,2477486.17
2018,Septiembre,249,Estados Unidos,5,Antioquia,0803901200 - Bananas bocadillo (manzanito- orito) (Musa acuminata)- frescas,368568.8,198.82,603396.5
2018,Septiembre,275,Francia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",280886,96.01,291451.31
2018,Septiembre,301,Grecia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",957096,394.75,1194419
2018,Septiembre,386,Italia,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",6807545.8,3067.85,9342100.79
2018,Septiembre,467,Malta,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",20844,8,24433.67
2018,Septiembre,474,Marruecos,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",60264,12.47,38084.87
2018,Septiembre,573,Países Bajos,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",4482528.2,2217.28,6701392.01
2018,Septiembre,607,Portugal,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",591355.2,293.22,895241.71
2018,Septiembre,628,Reino Unido,5,Antioquia,"0803901100 - ""Bananas o plátanos frescos del tipo """"cavendish valery"""".""",6185830,3008.74,9098450.03
