PAIS,Presentaciones MAD,Conferencias virtuales,TOTAL
matematica,300,162,462
docente,308,154,462
profesor,201,107,308
 unidad didactica,238,0,238
profesores,99,55,154
 docentes,90,63,153
 MAD,125,0,125
 #EducacionMatematica,124,0,124
 #Uniandes,124,0,124
 #FacultadDeEducacion,122,0,122
 MAD7,113,0,113
 Analisis de actuacion,39,0,39
 educacion matematica,29,0,29
 Modulo 8,23,0,23
 Catalina Paez,0,12,12
 Innovacion,10,0,10
A6_3,10,0,10
 A6_1,10,0,10
 lineales,0,0,9
Carolina Bautista,0,9,9
 Carlos Rodriguez,0,8,8
 David Arismendy,0,8,8
 Edicson Gomez,0,8,8
 Helverth Martinez Restrepo,0,8,8
 Lody Fuentes,0,8,8
 Nestor Apolinar,0,8,8
 Ruth Bernal,0,8,8
triángulos,8,0,8
 Evaluacion planificacion,7,0,7
 innovacion,2,0,2
 Discusion,1,0,1
 libros,1,0,1
 MAD6,1,0,1
 numeros,1,0,1
 primaria,1,0,1
