PAIS,MASCULINO,FEMENINO,TOTAL
ALBANIA,8,0,8
ALEMANIA,186,25,211
ARGENTINA,1511,174,1685
ARUBA,107,0,107
AUSTRALIA,164,16,180
AUSTRIA,30,20,50
BAHAMAS,0,2,2
BELGICA,57,10,67
BOLIVIA,776,64,840
BONAIRE,4,0,4
BRASIL,808,108,916
CAMBOYA,24,0,24
CANADA,124,21,145
CHILE,5106,937,6043
CHINA,296,77,373
COSTA RICA,1168,64,1232
CROACIA,4,0,4
CUBA,75,48,123
CURAÇAO,134,2,136
DESCONOCIDO,9820,1770,11590
DINAMARCA,3,4,7
ECUADOR,11900,2551,14451
EGIPTO,107,12,119
EL SALVADOR,182,0,182
EMIRATOS ARABES UNIDOS,36,4,40
ESLOVENIA,8,4,12
ESPAÑA,13137,2150,15287
ESTADOS UNIDOS,14722,499,15221
FEDERACION DE RUSIA,28,8,36
FILIPINAS,4,0,4
FINLANDIA,8,4,12
FRANCIA,330,66,396
GEORGIA,0,3,3
GHANA,4,0,4
GRECIA,22,5,27
GUATEMALA,232,54,286
GUYANA,4,0,4
GUYANA FRANCESA,0,4,4
HONDURAS,408,52,460
HONG KONG,475,77,552
INDIA,24,4,28
ISRAEL,116,52,168
ITALIA,893,184,1077
JAPON,400,105,505
KAZAJSTAN,12,0,12
KENIA,16,0,16
LIBANO,10,0,10
MALASIA,68,4,72
MALTA,20,12,32
MARRUECOS,14,0,14
MARTINICA,4,0,4
MEXICO,2386,457,2843
MONTENEGRO,4,0,4
MOZAMBIQUE,10,0,10
NICARAGUA,160,2,162
NUEVA ZELANDA,4,0,4
PAISES BAJOS,52,8,60
PANAMA,4271,508,4779
PARAGUAY,135,6,141
PERU,2628,334,2962
POLONIA,4,0,4
PORTUGAL,73,5,78
QATAR,20,4,24
REINO UNIDO,435,70,505
REPUBLICA CHECA,8,0,8
REPUBLICA DE COREA,13,3,16
REPUBLICA DOMINICANA,326,20,346
RUMANIA,8,0,8
SINGAPUR,22,0,22
SUDAFRICA,17,0,17
SUECIA,58,28,86
SUIZA,43,0,43
SURINAM,6,3,9
TAILANDIA,93,12,105
TANZANIA,4,0,4
TOGO,8,4,12
TRINIDAD Y TOBAGO,14,3,17
TURQUIA,145,25,170
URUGUAY,85,3,88
VENEZUELA,11200,1758,12958
VIET NAM,20,4,24
